local_authority,timeperiod,percentage_of_adults_aged_18_classified_as_overweight_or_obese,utilisation_of_outdoor_space_for_exercise_health_reasons,percentage_of_physically_active_adults,percentage_of_physically_inactive_adults,percentage_of_adults_walking_for_travel_at_least_three_days_per_week,percentage_of_adults_cycling_for_travel_at_least_three_days_per_week,deprivation_score_imd_2015,proportion_of_the_population_meeting_the_recommended_5_a_day_on_a_usual_day_adults,proportion_of_the_population_with_gym_membership
Babergh,2006,63.3,16.6,60.8,19.9,32.5,3.4,15.1,54.4,9.3
Babergh,2007,69.1,12.4,57.7,23.3,25,0.4,15.1,54.2,9
Babergh,2008,64.2,28.1,65.2,20.4,32.3,0.8,15.1,55.4,10
Babergh,2009,65.1,27.6,63.5,22.6,21.2,1.3,15.1,55.4,12.2
Babergh,2010,63.3,13.2,58.3,22.3,21.7,1.4,15.1,54.6,8.5
Babergh,2011,61.6,22.2,66.7,20.4,20.2,1.3,15.1,55.6,10.3
Babergh,2012,65.1,25.2,65.5,20.3,21.6,1.5,15.1,55.4,10.3
Babergh,2013,70.6,36.9,64.4,22.6,19.3,1,15.1,56.4,12.2
Babergh,2014,65.2,28.1,67.8,21.5,21.7,1.4,15.1,56.4,10.7
Babergh,2015,58.5,27.6,62.2,24.4,16.4,1.7,15.1,55.8,9.4
Babergh,2016,59.5,28.1,73.9,14.4,17.7,0.3,15.1,56.4,10.7
Babergh,2017,62.2,20.7,62.7,23.5,15.8,0.7,15.1,55.6,9.9
Babergh,2018,66.3,29.1,68.7,19.4,14.3,0.4,15.1,55.8,12.2
Babergh,2019,69.1,36.9,69,21.5,11.1,1.4,15.1,55.8,12.2
Babergh,2020,60.2,25.2,70.7,19.3,16,3.5,15.1,55.8,10.3
Babergh,2021,60.6,36.9,69.4,21.5,16.3,1.8,15.1,55.8,10
Babergh,2022,59.8,36.9,70.9,22.4,13.2,4.4,15.1,55.4,11.1
Babergh,2023,59.4,36.9,77.8,16.6,7,1,15.1,55.8,12.2
Babergh,2024,62.4,29.1,68.5,20.6,10.9,2.6,15.1,56.4,10
Babergh,2025,59.8,25.2,67.4,24.5,13.2,3.2,15.1,55.6,12.2
Basildon,2006,62.1,12.4,69.8,17.9,35.8,20.9,23.6,55.2,10.4
Basildon,2007,64,13.2,59.5,24.6,32.5,3.4,23.6,53.5,10.3
Basildon,2008,63.3,14.5,60.7,21.9,30,0.4,23.6,54.5,10.3
Basildon,2009,62.9,13.7,54.6,29.3,22.5,4.7,23.6,54.6,8.5
Basildon,2010,70.2,24.5,62.3,25.1,21.7,5.1,23.6,56.4,10.2
Basildon,2011,62.2,14.5,67.3,19.6,22.3,6.2,23.6,56.4,9.9
Basildon,2012,60.3,18,62.6,18.6,31.7,3.9,23.6,55.6,9.7
Basildon,2013,60.3,16.6,60.5,27.9,19.3,2.7,23.6,54.2,10.4
Basildon,2014,66.2,24.5,63,26.3,17.5,2.1,23.6,55.8,10
Basildon,2015,69.4,24.5,65.5,24,16.7,1.7,23.6,55.6,10.9
Basildon,2016,70.5,29.1,61,26.3,24,2,23.6,55.8,10.7
Basildon,2017,72.8,36.9,61.9,25.3,25.2,1,23.6,55.6,10.2
